lmp,regmcp
53.79,76.44
35.89,6.47
29.80,0.00
29.34,0.00
28.35,0.00
28.04,0.00
28.03,8.58
25.99,8.45
25.93,6.63
27.39,1.05
27.80,0.00
28.22,0.00
26.66,0.00
27.98,0.00
31.67,0.00
43.76,0.00
47.83,117.09
51.23,11.71
49.94,0.00
47.81,0.00
54.99,147.75
58.23,165.56
38.49,33.38
28.11,69.00
31.32,6.10
30.05,0.00
29.12,0.00
29.41,0.00
30.69,0.00
44.07,6.95
53.04,9.39
78.63,66.45
46.53,29.28
33.86,34.63
38.30,132.25
32.87,136.34
30.17,22.49
32.15,0.00
35.48,78.55
65.08,7.14
44.69,5.23
32.67,1.10
31.04,0.00
51.70,0.00
48.91,1.67
52.66,165.89
38.97,41.77
34.30,10.03
33.42,0.69
34.10,0.00
32.05,0.00
31.98,0.00
35.05,0.00
51.94,8.80
40.57,12.02
41.48,27.24
66.25,55.30
43.46,75.96
41.28,29.52
38.32,49.69
55.81,9.95
61.20,0.00
77.33,154.01
32.35,14.00
43.57,89.33
49.88,17.87
55.84,0.00
41.49,1.67
39.51,0.00
34.56,30.14
32.77,12.52
37.91,107.50
41.93,11.17
41.54,0.00
41.97,0.00
40.90,0.00
41.97,0.00
39.08,19.81
37.85,54.23
29.88,12.41
29.71,6.38
30.62,6.48
48.38,7.48
48.86,7.49
43.07,7.31
40.59,15.30
45.31,9.69
42.23,37.29
45.92,6.04
48.01,12.62
49.40,139.21
57.40,25.31
52.77,0.00
46.33,6.56
43.11,13.61
31.64,28.73
44.23,6.89
36.11,0.00
36.60,0.00
36.52,0.00
38.27,10.76
59.77,31.52
33.99,34.99
65.75,63.40
62.06,23.42
68.07,15.03
53.18,9.98
117.53,2.97
51.66,0.00
42.64,0.00
57.20,0.00
60.82,0.00
48.05,4.62
52.37,10.15
59.82,48.44
45.13,12.29
50.11,43.21
51.85,31.85
44.60,15.87
43.28,22.12
49.92,1.91
39.20,0.00
40.15,0.00
40.57,0.00
40.99,117.14
44.28,11.71
53.22,12.98
40.78,8.77
41.35,11.81
38.81,14.36
38.83,2.40
43.60,0.00
42.48,0.00
56.08,0.00
45.24,0.00
55.33,0.00
61.95,84.19
71.52,151.58
87.76,83.31
65.91,12.78
75.87,0.00
82.70,20.40
71.88,59.27
56.72,21.44
43.77,18.85
57.11,3.35
46.07,0.00
58.85,0.00
56.32,0.00
48.12,0.00
43.16,17.50
39.70,8.40
40.37,8.99
45.23,1.37
52.30,0.00
73.17,0.00
96.89,0.00
92.95,0.00
83.35,0.00
58.64,0.00
55.29,9.58
77.19,0.96
80.99,12.66
69.22,1.27
63.10,0.00
44.82,16.03
42.45,10.72
35.36,12.31
50.11,5.15
66.21,0.00
46.42,0.00
51.60,0.00
62.26,0.00
48.02,16.96
51.39,21.94
37.57,14.09
76.01,59.85
91.84,83.41
110.25,34.02
94.75,47.84
59.43,15.18
42.11,14.45
71.51,20.11
77.52,13.01
71.94,13.41
123.84,1.13
118.81,133.48
84.64,31.07
70.54,52.24
62.56,66.98
52.41,21.28
39.49,27.95
38.27,4.87
41.41,46.27
39.20,41.16
39.51,25.46
39.75,17.85
49.87,17.27
74.90,23.17
77.68,39.37
78.18,23.10
80.93,38.50
54.08,23.91
63.83,9.82
59.14,7.75
62.16,10.74
59.61,9.28
62.51,0.70
65.15,11.81
62.59,64.17
60.79,24.84
59.18,19.43
72.39,1.39
46.98,51.39
37.47,13.58
34.75,10.53
86.50,22.75
43.70,15.51
39.41,7.47
35.27,10.82
67.57,31.55
42.37,49.92
75.52,20.49
115.98,95.08
39.41,26.21
31.27,8.20
34.97,9.16
33.90,8.48
34.18,4.98
34.34,4.30
34.75,4.15
42.07,3.13
39.94,5.60
39.48,14.38
44.54,14.46
73.58,61.43
70.79,42.37
66.01,60.23
37.02,21.00
41.99,122.86
37.86,14.40
39.55,22.18
35.53,5.63
36.80,12.04
37.66,14.83
65.69,17.78
49.59,20.49
75.50,149.78
71.08,43.92
63.99,72.09
53.62,58.62
67.67,25.35
95.34,32.44
62.25,11.62
39.89,16.05
38.38,1.41
34.59,6.79
44.97,0.62
36.08,0.00
35.53,0.00
37.74,0.00
44.18,37.44
42.89,17.71
35.47,20.27
42.95,3.93
36.63,0.00
36.11,0.00
36.00,0.00
40.15,8.36
31.70,9.40
36.48,15.23
39.80,9.69
33.36,14.54
30.79,8.00
26.42,7.43
26.52,4.81
25.34,4.55
27.23,4.13
27.56,4.10
31.71,0.34
32.93,3.46
29.29,7.15
29.10,0.00
29.53,0.00
27.97,3.33
28.01,16.55
27.70,6.08
27.99,7.83
26.41,15.17
25.18,24.04
25.11,2.04
24.86,0.00
24.82,6.37
25.08,7.52
26.27,22.24
27.47,12.10
30.46,8.26
56.76,7.40
109.10,11.47
62.13,103.62
40.49,39.90
26.73,74.17
28.06,26.46
40.56,26.83
28.93,14.17
31.60,6.62
32.16,8.34
25.42,8.17
24.26,7.32
23.32,7.59
25.03,12.14
27.77,20.20
14.75,8.09
24.27,115.30
25.04,10.48
17.91,52.03
21.74,4.73
22.75,64.98
24.69,14.13
25.63,9.02
26.45,9.09
6.41,11.91
22.86,82.77
72.47,89.37
76.72,46.60
74.84,56.97
80.07,26.21
74.67,13.05
80.67,7.97
85.83,7.47
70.73,50.26
63.08,31.51
50.07,18.69
57.77,31.01
49.76,43.68
44.28,121.56
92.84,52.07
89.39,26.00
53.94,36.66
51.84,21.61
67.99,8.54
68.31,62.27
62.80,99.38
102.38,73.71
63.08,17.48
42.73,32.52
66.35,17.20
67.64,14.01
70.55,139.67
81.04,40.05
119.98,24.57
194.03,3.92
220.25,93.21
170.08,13.66
140.49,41.52
136.91,219.97
140.64,257.19
154.54,30.95
108.29,13.50
101.17,37.02
112.55,19.90
113.60,26.91
103.93,22.05
92.79,3.17
104.79,36.79
120.68,16.55
168.55,30.78
177.37,162.75
186.25,68.67
173.48,73.73
232.33,25.84
242.05,63.65
252.39,153.50
257.46,172.62
251.12,105.47
228.20,25.87
158.74,121.63
101.01,58.33
101.86,22.28
91.39,13.85
100.01,46.02
95.57,51.38
86.56,72.75
99.56,75.83
105.85,26.30
105.97,0.00
104.61,0.00
102.14,0.00
90.75,0.00
84.22,96.28
151.95,124.27
221.98,186.99
153.35,118.63
111.58,200.56
134.75,50.71
109.00,21.62
104.43,22.08
95.67,23.61
86.67,20.00
86.64,11.67
77.73,15.16
92.90,50.44
79.11,66.91
80.44,108.70
87.79,95.04
77.79,31.34
81.18,23.93
64.68,93.64
71.12,65.22
79.33,30.68
73.52,57.03
74.52,7.20
73.44,14.23
143.46,22.40
130.34,118.28
148.65,109.96
157.86,65.06
170.77,66.33
148.81,34.61
100.54,28.09
91.47,2.29
84.94,8.59
70.56,8.44
77.64,0.77
75.02,21.07
82.03,63.30
69.26,50.58
74.49,12.54
79.93,25.89
80.38,29.02
75.50,15.98
73.04,42.68
86.05,45.53
94.20,3.52
67.31,15.26
67.69,35.09
69.25,25.07
71.30,44.26
69.49,21.05
67.09,15.70
59.83,27.58
80.51,27.39
100.96,9.13
138.13,9.82
109.75,20.34
97.16,10.45
95.48,8.20
85.75,38.12
81.63,13.16
84.95,35.17
81.71,21.47
75.40,27.41
70.87,8.36
77.47,12.49
72.86,42.78
77.96,35.38
100.78,13.82
97.16,8.34
91.73,34.64
84.60,5.81
84.48,24.81
72.31,2.48
73.81,5.85
68.47,6.52
74.90,43.34
73.78,39.63
108.44,16.07
105.52,17.69
90.39,21.73
102.32,15.94
110.96,31.75
117.39,36.88
120.33,23.54
118.21,39.99
105.67,28.80
114.24,70.26
115.14,73.32
124.74,63.07
102.13,71.94
124.36,21.80
100.17,23.74
105.77,2.09
94.73,0.00
90.80,0.00
83.84,0.00
92.56,0.00
71.82,1.39
71.19,17.18
100.27,19.41
79.77,33.01
88.43,18.86
93.17,44.87
80.50,19.08
73.75,33.36
72.39,19.26
91.22,15.55
117.43,21.15
126.79,24.43
85.86,26.23
103.92,57.42
79.26,23.59
78.91,17.55
70.82,13.37
86.63,35.18
79.79,50.89
70.72,11.49
74.27,36.89
76.01,47.32
74.58,37.03
94.88,18.96
144.47,106.77
156.05,57.04
112.18,228.06
125.66,203.12
100.66,21.61
70.82,28.73
63.84,6.71
64.22,0.00
70.21,14.46
70.88,1.45
68.29,7.18
60.77,13.50
52.80,41.09
59.86,26.09
61.70,86.94
53.22,39.00
44.36,10.75
26.30,35.31
64.09,8.96
59.08,7.88
47.38,10.82
49.33,19.92
48.14,8.76
44.30,12.76
61.93,17.40
71.97,50.85
76.44,34.55
65.53,18.15
50.07,11.69
41.46,11.88
39.64,10.45
42.17,10.73
41.66,11.08
44.10,10.48
46.93,99.32
49.26,11.66
44.54,22.63
59.88,4.53
52.08,1.67
44.30,51.55
41.73,14.12
37.60,7.80
57.09,8.15
42.51,1.38
38.00,0.00
38.10,0.00
38.98,6.28
45.97,7.36
59.77,15.39
58.61,52.25
71.20,37.35
59.20,17.43
52.25,29.47
42.45,30.17
42.45,42.01
42.50,35.22
33.07,21.78
41.82,4.14
35.79,16.27
43.62,2.96
45.07,38.68
34.48,7.74
35.57,0.00
43.06,23.48
24.62,15.56
23.98,9.30
25.16,0.81
25.61,0.00
25.36,0.00
24.77,0.00
25.10,6.68
57.66,10.43
56.69,79.19
49.90,28.08
53.05,107.32
32.57,48.01
26.55,9.71
26.39,6.32
26.46,6.23
26.57,111.82
25.39,39.34
25.15,47.49
32.07,14.21
50.33,0.61
37.34,0.00
31.57,0.00
34.81,1.67
25.78,5.61
24.49,8.46
23.30,9.23
23.66,1.58
22.79,0.00
21.78,0.00
21.32,0.00
22.27,0.00
23.84,4.26
29.76,16.37
50.52,15.94
34.48,20.83
30.50,12.44
27.23,6.91
28.10,6.58
26.83,13.46
30.40,11.94
43.46,12.60
54.90,1.06
60.26,17.66
43.91,1.96
31.01,0.00
31.53,0.00
31.75,0.00
34.82,5.46
28.32,17.92
27.81,9.24
26.30,2.09
28.40,0.00
28.67,0.00
27.64,0.00
28.40,0.00
37.40,0.00
42.93,4.71
49.45,8.16
42.58,24.14
27.74,8.31
34.48,7.19
33.59,122.27
32.52,22.14
31.70,0.00
31.70,0.00
29.48,0.00
49.20,0.00
41.75,0.00
30.79,0.00
30.40,0.00
37.42,0.00
42.60,12.06
53.14,26.88
39.96,23.59
39.86,26.86
34.41,2.27
33.80,0.00
34.48,38.08
34.72,7.62
30.99,0.00
28.40,7.76
33.76,7.20
34.51,9.55
38.08,13.64
44.77,7.46
43.57,7.27
39.51,0.61
37.64,0.00
47.70,0.00
50.92,0.00
42.55,6.56
54.97,0.60
47.25,0.00
61.61,0.00
62.63,36.36
74.10,20.86
40.50,120.98
35.18,18.75
38.21,1.43
41.12,0.00
40.32,0.00
39.73,0.00
36.80,44.10
47.43,17.79
34.60,61.07
37.81,25.66
35.55,18.50
58.78,18.59
63.57,20.38
47.50,20.21
54.46,3.89
62.04,24.63
57.28,2.46
61.22,0.00
43.61,5.47
68.94,1.09
59.39,0.00
47.96,0.00
59.63,0.00
51.89,30.63
41.57,35.38
42.70,18.11
48.18,1.27
47.28,0.00
44.92,0.00
45.22,0.00
47.24,0.00
46.50,11.23
66.45,22.78
65.21,25.37
62.84,4.32
74.78,0.00
86.39,0.00
86.81,0.00
78.37,0.00
66.63,0.00
63.17,0.00
64.88,0.00
83.59,147.13
125.11,13.38
121.70,0.00
99.19,0.00
75.67,1.67
70.81,3.98
61.06,13.59
57.97,13.25
62.22,0.72
54.56,0.00
53.12,0.00
54.83,0.00
54.87,0.00
58.33,16.32
64.72,11.52
63.98,7.88
63.77,1.91
84.83,0.00
51.37,13.38
50.54,20.94
52.28,1.78
74.19,0.00
61.64,0.00
61.16,0.00
61.33,5.90
86.99,2.35
82.13,0.00
53.62,0.00
52.42,1.67
44.28,0.00
34.09,11.85
38.59,19.26
49.92,5.24
51.69,0.00
51.85,0.00
53.57,0.00
53.91,0.00
42.54,14.67
49.70,20.68
49.23,11.21
49.52,1.26
53.88,31.19
40.13,8.91
46.42,7.46
34.17,7.24
50.08,11.69
39.34,1.01
37.80,83.39
41.40,7.58
37.96,95.71
30.44,27.80
31.14,1.16
56.67,1.67
33.32,45.82
32.23,39.83
27.53,22.42
28.84,1.59
28.41,0.00
27.70,0.00
27.24,0.00
27.91,0.00
30.16,11.83
34.42,12.39
44.81,10.20
52.23,129.47
57.84,60.42
58.12,30.25
42.57,13.42
39.22,7.91
37.72,7.36
36.29,0.55
35.74,10.87
36.19,27.56
39.61,11.25
37.45,7.72
35.55,0.64
41.80,1.67
35.07,6.25
31.96,7.85
28.56,17.42
28.76,12.89
36.24,2.67
32.93,0.00
33.34,0.00
39.91,0.00
42.07,0.00
38.61,7.38
37.92,6.66
32.08,0.54
30.98,0.00
19.41,10.32
-3.08,69.52
6.99,6.07
18.09,44.83
28.79,14.94
35.54,1.81
39.67,0.00
42.68,0.00
40.57,0.00
36.85,0.00
36.96,0.00
35.84,0.00
42.78,13.63
36.18,21.08
50.44,13.49
43.33,7.54
51.56,0.00
34.80,0.00
34.94,0.00
42.57,0.00
45.91,11.72
34.60,33.54
34.24,15.09
4.14,12.61
-5.36,14.94
10.88,13.31
12.43,15.55
25.79,118.58
12.07,42.86
33.94,14.37
31.69,24.97
45.77,2.00
59.38,111.97
57.89,33.59
65.62,16.52
52.63,153.40
38.17,107.63
37.59,17.04
52.70,0.77
41.59,0.00
40.46,0.00
35.72,0.00
34.71,0.00
69.63,8.14
61.59,13.75
58.49,24.11
34.50,8.15
33.58,6.49
32.48,14.89
23.97,14.38
16.85,14.52
18.26,49.22
28.86,16.05
34.44,11.90
41.93,15.99
37.46,15.81
39.48,17.13
45.19,1.05
56.52,0.00
65.34,18.77
40.28,23.65
34.33,10.24
65.39,20.89
50.21,3.81
57.94,0.00
40.25,0.00
40.16,0.00
48.62,9.22
43.49,38.16
55.09,28.25
68.14,2.10
45.69,0.00
40.28,8.38
36.05,8.26
41.03,0.65
34.36,0.00
37.24,0.00
40.48,0.00
40.32,0.00
54.86,0.00
45.25,2.55
55.22,0.64
57.24,0.00
57.06,0.00
45.76,7.81
46.00,20.15
49.83,3.67
43.48,0.00
40.78,0.00
42.40,0.00
48.89,27.52
48.46,22.85
55.28,28.12
62.58,150.83
43.68,13.42
38.38,127.99
35.97,29.85
27.51,11.89
29.50,2.12
34.14,0.00
34.74,0.00
39.13,36.32
42.09,3.30
46.05,0.00
47.98,0.00
38.07,0.00
47.62,0.00
51.55,0.00
40.75,10.43
35.56,9.44
34.55,1.50
34.56,0.00
34.15,0.00
33.99,0.00
32.93,0.00
35.64,7.38
47.59,10.58
34.52,7.68
34.11,0.61
29.98,7.53
26.59,15.39
23.31,18.52
21.43,4.76
21.14,10.13
21.06,1.66
23.29,0.00
26.58,0.00
40.12,0.00
38.94,0.00
35.15,0.00
34.36,1.67
27.23,102.80
22.89,44.85
21.16,69.16
21.13,5.60
19.75,0.00
20.46,0.00
20.38,0.00
20.17,0.00
19.14,10.29
26.92,12.05
33.85,8.14
34.97,1.43
35.42,6.07
32.54,7.66
24.44,15.54
20.05,1.33
12.49,37.18
14.89,6.76
17.54,10.97
20.32,1.00
30.07,0.00
30.37,0.00
24.21,0.00
24.70,1.67
20.79,0.00
19.03,11.89
18.83,9.72
18.64,0.00
18.64,0.00
18.44,0.00
18.50,0.00
18.70,0.00
19.57,0.00
20.12,9.32
23.25,8.32
27.82,2.07
19.95,0.00
19.95,0.00
19.07,12.41
19.75,1.07
19.56,9.98
18.12,1.00
17.28,0.00
30.08,0.00
40.19,0.00
37.65,0.00
36.67,0.00
26.27,0.00
22.05,0.00
18.47,72.11
16.91,19.00
17.38,7.76
18.20,0.62
16.14,0.00
16.04,0.00
16.97,0.00
18.69,0.00
18.63,8.49
20.00,48.90
27.00,10.12
34.01,0.58
37.19,8.75
37.66,122.94
44.93,27.67
39.38,0.00
22.23,0.00
20.02,0.00
38.48,0.00
50.89,0.00
35.17,0.00
19.71,0.00
21.04,0.00
21.38,0.00
20.41,6.02
20.88,8.97
19.45,1.58
18.97,0.00
19.02,0.00
19.62,0.00
20.05,0.00
18.39,30.65
25.00,14.68
43.06,122.79
31.86,131.80
18.63,18.12
20.86,11.55
19.85,11.47
20.19,0.95
21.45,100.18
25.56,9.11
22.57,0.00
22.42,0.00
43.62,0.00
36.57,134.89
35.48,12.26
36.29,0.00
23.65,0.00
22.90,9.38
24.70,10.36
24.52,2.00
23.48,0.00
22.71,0.00
21.37,0.00
22.05,0.00
21.06,10.12
20.48,34.23
20.45,16.90
21.55,11.90
19.86,11.28
45.15,7.78
44.57,12.65
42.79,2.28
42.05,11.68
42.32,1.17
35.12,0.00
34.12,0.00
32.67,0.00
32.06,6.22
35.01,0.57
34.03,0.00
30.43,10.66
22.29,17.95
